zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60193,1.261290842,0.892511962,2.920433696,3.84198339,3.82332962,2.106318957,7.715239262,0.385517416,3.172754376,0,0.114728838,0.234109914,0.049611165,0.083051055,0.303694424,0.4295006,0.16281325,0.524452966,0.289195754,0,2.191157966,0.398449917,0.816246079,0.97646197,20,22.19115797
60194,0.259519668,0.168194954,0.469852949,0.577309144,0.363923765,0.300902708,1.309429077,0.0691518,0.51902411,0,0.023606284,0.037664691,0.008898953,0.015651071,0.04563413,0.04088203,0.023259036,0.089010067,0.047308916,0,0.331915177,0.070169928,0.102167231,0.159578018,20,20.33191518
60195,13.94278886,10.35530944,32.53399231,43.0928,52.48882873,25.50150451,81.10977829,4.606716543,37.48936716,0,1.268256229,2.608013375,0.592825546,0.963594227,3.406324738,5.896426854,1.971203277,5.513537861,3.417146282,0,25.63732839,4.46909515,10.26634582,10.90188742,20,45.63732839
60201,0.194402963,0.162546214,0.267379256,0.499434389,0.239537294,0.526579739,0.589866623,0.077969815,0.151059269,0,0.017683174,0.021433849,0.010033719,0.015125438,0.039478421,0.026908852,0.040703312,0.040096916,0.013769014,0,0.225232696,0.049150742,0.081512712,0.094569242,20,20.2252327
60202,0.228974013,0.222648994,0.869259618,0.977481541,0.517428056,0.75225677,1.004311318,0.130877903,0.284343182,0,0.020827807,0.069682217,0.016842314,0.020718192,0.077266261,0.05812621,0.058147589,0.068269308,0.025917809,0,0.415797707,0.107352338,0.156110663,0.152334706,20,20.41579771
60203,0.846753952,0.770390415,2.748354802,3.486457801,2.56785269,2.557673019,3.710880436,0.456216236,1.029015817,0,0.077021963,0.220315601,0.058709199,0.07168726,0.275591455,0.288464344,0.197701804,0.252251704,0.09379453,0,1.535537861,0.356046764,0.635743059,0.543748038,20,21.53553786
60208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60301,0.578946704,0.577312044,0.480934387,0.431114519,0.150885702,2.632898696,0.748245187,0.827965173,0.85943627,0,0.052661829,0.038553009,0.106548537,0.053720708,0.034077991,0.016950016,0.203516562,0.050862895,0.078337397,0,0.635228946,0.197763375,0.104748715,0.332716855,20,20.63522895
60302,0.305456543,0.314820905,0.361413168,0.280903569,0.109494918,1.504513541,0.486359372,0.491488295,0.506418827,0,0.027784769,0.028971863,0.063248263,0.029295079,0.022204377,0.012300308,0.116295179,0.033060882,0.046159947,0,0.379320666,0.120004894,0.063799764,0.195516008,20,20.37932067
